,method,step,range,host,mean,std
445,CF4,1e-08,"(0.1,0.3)",host#b1a00ec8,1.6653345369377347e-17,0.028177676971619225
565,CF4,1e-08,"(0.1,0.3)",host#b9ec88ad,-6.106226635438361e-17,0.11976751590603765
685,CF4,1e-08,"(0.1,0.3)",host#e0324c47,4.85722573273506e-17,0.10907228591887833
805,CF4,1e-08,"(0.1,0.3)",host#e739d7ed,6.938893903907229e-19,0.10681559126968193
925,CF4,1e-08,"(0.1,0.3)",host#ea9ebc36,-5.117434254131581e-17,0.028298956900709604
1045,CF4,1e-08,"(0.1,0.3)",host#fe823726,1.5265566588595904e-17,0.09174932694147657
4,CF4,1e-07,"(0.1,0.15)",host#053336e2,-1.1102230246251566e-17,0.13578174236903362
124,CF4,1e-07,"(0.1,0.15)",host#2a9a8c7d,-1.0963452368173421e-16,0.09051122533440985
244,CF4,1e-07,"(0.1,0.15)",host#2ea82f5c,-1.2212453270876723e-16,0.20826759597881236
364,CF4,1e-07,"(0.1,0.15)",host#b1a00ec8,-2.0122792321330962e-17,0.11978909192657806
484,CF4,1e-07,"(0.1,0.15)",host#b9ec88ad,-1.582067810090848e-16,0.28062139662336505
604,CF4,1e-07,"(0.1,0.15)",host#e0324c47,2.2204460492503132e-17,0.26843969455279537
724,CF4,1e-07,"(0.1,0.15)",host#e739d7ed,-9.992007221626409e-17,0.2970229480545578
844,CF4,1e-07,"(0.1,0.15)",host#ea9ebc36,1.1657341758564144e-16,0.19980203532132787
964,CF4,1e-07,"(0.1,0.15)",host#fe823726,8.881784197001253e-17,0.2728987799147965
44,CF4,1e-07,"(0.1,0.2)",host#053336e2,7.355227538141662e-17,0.11203159928241029
164,CF4,1e-07,"(0.1,0.2)",host#2a9a8c7d,-5.2735593669694933e-17,0.05995798994082706
284,CF4,1e-07,"(0.1,0.2)",host#2ea82f5c,7.494005416219807e-17,0.1262893911069029
404,CF4,1e-07,"(0.1,0.2)",host#b1a00ec8,1.1102230246251565e-16,0.05911345494753051
524,CF4,1e-07,"(0.1,0.2)",host#b9ec88ad,-1.1657341758564144e-16,0.2821225430055076
644,CF4,1e-07,"(0.1,0.2)",host#e0324c47,-6.661338147750939e-17,0.2776074357535532
764,CF4,1e-07,"(0.1,0.2)",host#e739d7ed,-1.0547118733938987e-16,0.24743711513295308
884,CF4,1e-07,"(0.1,0.2)",host#ea9ebc36,-4.163336342344337e-17,0.12263540798624789
1004,CF4,1e-07,"(0.1,0.2)",host#fe823726,1.9428902930940238e-17,0.21358877132046625
84,CF4,1e-07,"(0.1,0.3)",host#053336e2,-1.1102230246251565e-16,0.08885739212577756
204,CF4,1e-07,"(0.1,0.3)",host#2a9a8c7d,-5.412337245047638e-17,0.08047999847234849
324,CF4,1e-07,"(0.1,0.3)",host#2ea82f5c,-9.020562075079397e-17,0.10921916650705171
444,CF4,1e-07,"(0.1,0.3)",host#b1a00ec8,1.3600232051658169e-16,0.09085032594503391
564,CF4,1e-07,"(0.1,0.3)",host#b9ec88ad,-1.1102230246251566e-17,0.24272956121152528
684,CF4,1e-07,"(0.1,0.3)",host#e0324c47,-1.457167719820518e-17,0.13118366790832803
804,CF4,1e-07,"(0.1,0.3)",host#e739d7ed,-6.661338147750939e-17,0.16120217115228044
