,method,step,range,host,mean,std
1060,M2,1e-07,"(0.1,0.3)",host#fe823726,8.881784197001253e-17,0.22580555324106716
19,M2,1e-06,"(0.1,0.15)",host#053336e2,-2.7755575615628914e-17,0.18790742473980437
139,M2,1e-06,"(0.1,0.15)",host#2a9a8c7d,1.554312234475219e-16,0.2535473168124719
259,M2,1e-06,"(0.1,0.15)",host#2ea82f5c,6.38378239159465e-17,0.3464563635617092
379,M2,1e-06,"(0.1,0.15)",host#b1a00ec8,1.3183898417423733e-17,0.12071307539187606
499,M2,1e-06,"(0.1,0.15)",host#b9ec88ad,1.6653345369377347e-17,0.3377629027093902
619,M2,1e-06,"(0.1,0.15)",host#e0324c47,0.0,0.3124247327217573
739,M2,1e-06,"(0.1,0.15)",host#e739d7ed,-8.049116928532385e-17,0.3074821243247397
859,M2,1e-06,"(0.1,0.15)",host#ea9ebc36,-5.2735593669694933e-17,0.21873674522964476
979,M2,1e-06,"(0.1,0.15)",host#fe823726,8.326672684688674e-17,0.2684978715228949
59,M2,1e-06,"(0.1,0.2)",host#053336e2,1.1102230246251565e-16,0.19390358798559112
179,M2,1e-06,"(0.1,0.2)",host#2a9a8c7d,1.124100812432971e-16,0.18730618390580095
299,M2,1e-06,"(0.1,0.2)",host#2ea82f5c,-3.0357660829594124e-17,0.29951416586590834
419,M2,1e-06,"(0.1,0.2)",host#b1a00ec8,-1.457167719820518e-17,0.12268167728595478
539,M2,1e-06,"(0.1,0.2)",host#b9ec88ad,2.7755575615628915e-18,0.3048761502164084
659,M2,1e-06,"(0.1,0.2)",host#e0324c47,-1.1379786002407854e-16,0.3309651357159273
779,M2,1e-06,"(0.1,0.2)",host#e739d7ed,-8.881784197001253e-17,0.28464537540923335
899,M2,1e-06,"(0.1,0.2)",host#ea9ebc36,7.494005416219807e-17,0.3013321759745054
1019,M2,1e-06,"(0.1,0.2)",host#fe823726,-4.4408920985006264e-17,0.29639442906727076
99,M2,1e-06,"(0.1,0.3)",host#053336e2,-3.053113317719181e-17,0.10535862422184447
219,M2,1e-06,"(0.1,0.3)",host#2a9a8c7d,4.9960036108132046e-17,0.20594276223262942
339,M2,1e-06,"(0.1,0.3)",host#2ea82f5c,-3.8857805861880476e-17,0.35198357095201493
459,M2,1e-06,"(0.1,0.3)",host#b1a00ec8,-9.124645483638006e-17,0.11611199007611835
579,M2,1e-06,"(0.1,0.3)",host#b9ec88ad,6.661338147750939e-17,0.3339742278681464
699,M2,1e-06,"(0.1,0.3)",host#e0324c47,1.3322676295501878e-16,0.2761537232041859
819,M2,1e-06,"(0.1,0.3)",host#e739d7ed,9.992007221626409e-17,0.3120159114594579
939,M2,1e-06,"(0.1,0.3)",host#ea9ebc36,-7.494005416219807e-17,0.21942322601434547
1059,M2,1e-06,"(0.1,0.3)",host#fe823726,-3.608224830031759e-17,0.2709371353335978
18,M2,1e-05,"(0.1,0.15)",host#053336e2,7.216449660063518e-17,0.06597250497175652
138,M2,1e-05,"(0.1,0.15)",host#2a9a8c7d,0.0,0.4629710800633941
258,M2,1e-05,"(0.1,0.15)",host#2ea82f5c,8.881784197001253e-17,0.5869473417245407
378,M2,1e-05,"(0.1,0.15)",host#b1a00ec8,-3.694961003830599e-17,0.010623061288196536
498,M2,1e-05,"(0.1,0.15)",host#b9ec88ad,7.355227538141662e-17,0.5062708943912078
618,M2,1e-05,"(0.1,0.15)",host#e0324c47,-3.8857805861880476e-17,0.07444580416958121
738,M2,1e-05,"(0.1,0.15)",host#e739d7ed,-2.706168622523819e-17,0.009475465420899696
858,M2,1e-05,"(0.1,0.15)",host#ea9ebc36,-2.2204460492503132e-17,0.5153085193496948
978,M2,1e-05,"(0.1,0.15)",host#fe823726,-2.688821387764051e-17,0.02586800585851461
58,M2,1e-05,"(0.1,0.2)",host#053336e2,3.7470027081099036e-17,0.13471493733254827
178,M2,1e-05,"(0.1,0.2)",host#2a9a8c7d,4.4408920985006264e-17,0.3067793024590657
298,M2,1e-05,"(0.1,0.2)",host#2ea82f5c,6.661338147750939e-17,0.3298745351167051
418,M2,1e-05,"(0.1,0.2)",host#b1a00ec8,-1.3600232051658169e-16,0.15712933638421078
538,M2,1e-05,"(0.1,0.2)",host#b9ec88ad,-8.326672684688674e-18,0.2710546441039588
658,M2,1e-05,"(0.1,0.2)",host#e0324c47,-8.881784197001253e-17,0.34158075233612817
778,M2,1e-05,"(0.1,0.2)",host#e739d7ed,1.1657341758564144e-16,0.3303903577155114
898,M2,1e-05,"(0.1,0.2)",host#ea9ebc36,-5.551115123125783e-17,0.27975093435561876
1018,M2,1e-05,"(0.1,0.2)",host#fe823726,8.673617379884036e-20,0.00507787484732419
98,M2,1e-05,"(0.1,0.3)",host#053336e2,-3.3306690738754695e-17,0.1003439967100855
218,M2,1e-05,"(0.1,0.3)",host#2a9a8c7d,1.0547118733938987e-16,0.22803446362732419
338,M2,1e-05,"(0.1,0.3)",host#2ea82f5c,-1.4155343563970745e-16,0.2732170254690933
458,M2,1e-05,"(0.1,0.3)",host#b1a00ec8,-3.4694469519536144e-19,0.013862113871371774
578,M2,1e-05,"(0.1,0.3)",host#b9ec88ad,1.1102230246251565e-16,0.30315788726874343
698,M2,1e-05,"(0.1,0.3)",host#e0324c47,7.771561172376095e-17,0.330259799105692
818,M2,1e-05,"(0.1,0.3)",host#e739d7ed,2.4980018054066023e-17,0.2534959934763952
938,M2,1e-05,"(0.1,0.3)",host#ea9ebc36,-7.771561172376095e-17,0.32304588016641933
1058,M2,1e-05,"(0.1,0.3)",host#fe823726,-1.1102230246251566e-17,0.3267054038523194
16,M2,0.0001,"(0.1,0.15)",host#053336e2,-1.4294121442048891e-16,0.15871708887594463
136,M2,0.0001,"(0.1,0.15)",host#2a9a8c7d,-5.512083844916304e-17,0.008646959293710817
256,M2,0.0001,"(0.1,0.15)",host#2ea82f5c,-8.135853102331225e-17,0.007763540007836403
376,M2,0.0001,"(0.1,0.15)",host#b1a00ec8,-1.0200174038743625e-16,0.16510124638544335
496,M2,0.0001,"(0.1,0.15)",host#b9ec88ad,1.1267028976469363e-16,0.0046306304870148765
616,M2,0.0001,"(0.1,0.15)",host#e0324c47,-4.7704895589362195e-17,0.017201432789696828
736,M2,0.0001,"(0.1,0.15)",host#e739d7ed,-3.191891195797325e-17,0.012869278878863475
856,M2,0.0001,"(0.1,0.15)",host#ea9ebc36,-1.0166563771396576e-16,0.004955712502399735
976,M2,0.0001,"(0.1,0.15)",host#fe823726,4.83554168928535e-17,0.007225688703444045
56,M2,0.0001,"(0.1,0.2)",host#053336e2,8.465450562766818e-17,0.1690444035454882
176,M2,0.0001,"(0.1,0.2)",host#2a9a8c7d,0.0,0.005439011126275067
296,M2,0.0001,"(0.1,0.2)",host#2ea82f5c,-1.6722734308416421e-16,0.022226030645244452
416,M2,0.0001,"(0.1,0.2)",host#b1a00ec8,4.4408920985006264e-17,0.24447797830759263
536,M2,0.0001,"(0.1,0.2)",host#b9ec88ad,-1.6523241108679088e-17,0.0031684112153492236
656,M2,0.0001,"(0.1,0.2)",host#e0324c47,-1.0408340855860842e-18,0.017684559844258346
776,M2,0.0001,"(0.1,0.2)",host#e739d7ed,-4.891920202254596e-17,0.0139895980559212
896,M2,0.0001,"(0.1,0.2)",host#ea9ebc36,-3.46077333457373e-17,0.0058712607008215715
1016,M2,0.0001,"(0.1,0.2)",host#fe823726,6.613633252161577e-17,0.003701039574929762
96,M2,0.0001,"(0.1,0.3)",host#053336e2,-7.494005416219807e-17,0.05225172863525336
216,M2,0.0001,"(0.1,0.3)",host#2a9a8c7d,-4.4408920985006264e-17,0.9316651838464168
336,M2,0.0001,"(0.1,0.3)",host#2ea82f5c,1.6653345369377347e-17,0.0866238059613255
456,M2,0.0001,"(0.1,0.3)",host#b1a00ec8,-4.53630188967935e-17,0.013208071109244884
576,M2,0.0001,"(0.1,0.3)",host#b9ec88ad,6.696032617270476e-17,0.006215400822507187
696,M2,0.0001,"(0.1,0.3)",host#e0324c47,4.852888924045118e-17,0.010605560467271445
816,M2,0.0001,"(0.1,0.3)",host#e739d7ed,6.678685382510707e-17,0.01006921624049559
936,M2,0.0001,"(0.1,0.3)",host#ea9ebc36,-8.909973453485875e-17,0.0033709753095349597
1056,M2,0.0001,"(0.1,0.3)",host#fe823726,-1.1674688993323911e-16,0.00547470100564498
17,M2,0.001,"(0.1,0.15)",host#053336e2,-2.4424906541753446e-16,0.22249816236170622
137,M2,0.001,"(0.1,0.15)",host#2a9a8c7d,1.3357370765021415e-16,0.033242733264079165
257,M2,0.001,"(0.1,0.15)",host#2ea82f5c,2.671474153004283e-17,0.022325543761048405
377,M2,0.001,"(0.1,0.15)",host#b1a00ec8,6.83481049534862e-17,0.052613783517607295
497,M2,0.001,"(0.1,0.15)",host#b9ec88ad,-2.706168622523819e-17,0.02105200244876052
617,M2,0.001,"(0.1,0.15)",host#e0324c47,-5.355958732078392e-17,0.020042981906856897
737,M2,0.001,"(0.1,0.15)",host#e739d7ed,-2.7408630920433553e-17,0.03148022916961524
857,M2,0.001,"(0.1,0.15)",host#ea9ebc36,1.3877787807814457e-17,0.02225380903376205
977,M2,0.001,"(0.1,0.15)",host#fe823726,-1.0668549377257364e-16,0.030084226292857955
57,M2,0.001,"(0.1,0.2)",host#053336e2,8.18789480661053e-17,0.19207773023959962
177,M2,0.001,"(0.1,0.2)",host#2a9a8c7d,1.457167719820518e-16,0.054889691467313026
297,M2,0.001,"(0.1,0.2)",host#2ea82f5c,1.1275702593849246e-16,0.04311164542887613
417,M2,0.001,"(0.1,0.2)",host#b1a00ec8,1.457167719820518e-16,0.1273315933859413
537,M2,0.001,"(0.1,0.2)",host#b9ec88ad,1.3287981825982341e-16,0.015233391105663139
657,M2,0.001,"(0.1,0.2)",host#e0324c47,-2.114627917215728e-16,0.018476578880071995
777,M2,0.001,"(0.1,0.2)",host#e739d7ed,4.9613091412936685e-17,0.022689872173069024
897,M2,0.001,"(0.1,0.2)",host#ea9ebc36,-1.016547956922409e-16,0.011831564223459656
1017,M2,0.001,"(0.1,0.2)",host#fe823726,1.313185671314443e-16,0.013888704767815025
97,M2,0.001,"(0.1,0.3)",host#053336e2,-1.3530843112619095e-16,0.15943063128046644
217,M2,0.001,"(0.1,0.3)",host#2a9a8c7d,4.562322741819003e-17,0.018465620632123328
337,M2,0.001,"(0.1,0.3)",host#2ea82f5c,-7.355227538141662e-17,0.010150396702371643
457,M2,0.001,"(0.1,0.3)",host#b1a00ec8,1.3183898417423733e-17,0.09075693503367427
577,M2,0.001,"(0.1,0.3)",host#b9ec88ad,-9.211381657436846e-17,0.009589434072124734
697,M2,0.001,"(0.1,0.3)",host#e0324c47,1.8127860323957633e-17,0.01584501506732087
817,M2,0.001,"(0.1,0.3)",host#e739d7ed,1.0963452368173421e-16,0.017102695953786145
937,M2,0.001,"(0.1,0.3)",host#ea9ebc36,1.726049858596923e-16,0.012245456377654527
1057,M2,0.001,"(0.1,0.3)",host#fe823726,-1.0928757898653885e-16,0.023056247693071748
31,M4,1e-10,"(0.1,0.15)",host#053336e2,-5.3960742124603554e-17,0.011024589311595417
151,M4,1e-10,"(0.1,0.15)",host#2a9a8c7d,5.377642775528102e-17,0.05798449131084457
271,M4,1e-10,"(0.1,0.15)",host#2ea82f5c,-2.4806545706468343e-17,0.018217612037716293
391,M4,1e-10,"(0.1,0.15)",host#b1a00ec8,-5.1000870193718126e-17,0.018452763143237464
511,M4,1e-10,"(0.1,0.15)",host#b9ec88ad,-1.1934897514720432e-16,0.0312284188283994
631,M4,1e-10,"(0.1,0.15)",host#e0324c47,1.3392065234540951e-16,0.038902155519332314
751,M4,1e-10,"(0.1,0.15)",host#e739d7ed,5.551115123125783e-17,0.03252713830344439
871,M4,1e-10,"(0.1,0.15)",host#ea9ebc36,-1.0512424264419451e-16,0.011695323618202025
991,M4,1e-10,"(0.1,0.15)",host#fe823726,-1.4779844015322397e-16,0.02945808289985883
71,M4,1e-10,"(0.1,0.2)",host#053336e2,2.1579960041151481e-16,0.004812720283947739
191,M4,1e-10,"(0.1,0.2)",host#2a9a8c7d,8.795048023202412e-17,0.033987509793311256
311,M4,1e-10,"(0.1,0.2)",host#2ea82f5c,3.7470027081099036e-17,0.02062685574783101
431,M4,1e-10,"(0.1,0.2)",host#b1a00ec8,-1.0321604682062002e-16,0.013692557923795107
551,M4,1e-10,"(0.1,0.2)",host#b9ec88ad,6.661338147750939e-17,0.05451881538202158
671,M4,1e-10,"(0.1,0.2)",host#e0324c47,-9.159339953157541e-17,0.01619751016340945
791,M4,1e-10,"(0.1,0.2)",host#e739d7ed,2.4563684419831587e-16,0.03159823780727651
911,M4,1e-10,"(0.1,0.2)",host#ea9ebc36,3.9898639947466563e-17,0.014746621925150624
1031,M4,1e-10,"(0.1,0.2)",host#fe823726,9.22005527481673e-17,0.017600274549022348
111,M4,1e-10,"(0.1,0.3)",host#053336e2,1.9725974326201269e-16,0.005173734050478902
231,M4,1e-10,"(0.1,0.3)",host#2a9a8c7d,1.734723475976807e-17,0.012539113120789135
351,M4,1e-10,"(0.1,0.3)",host#2ea82f5c,-7.502679033599691e-17,0.008815590355717143
471,M4,1e-10,"(0.1,0.3)",host#b1a00ec8,-1.2143064331837649e-18,0.02095430890418564
591,M4,1e-10,"(0.1,0.3)",host#b9ec88ad,1.3617579286417935e-17,0.02145752400197389
711,M4,1e-10,"(0.1,0.3)",host#e0324c47,-8.18789480661053e-17,0.06940796316962157
831,M4,1e-10,"(0.1,0.3)",host#e739d7ed,3.903127820947816e-17,0.016028276165371214
951,M4,1e-10,"(0.1,0.3)",host#ea9ebc36,-5.2909066017292616e-17,0.0053509083898764225
1071,M4,1e-10,"(0.1,0.3)",host#fe823726,6.591949208711867e-17,0.014173491986667376
30,M4,1e-09,"(0.1,0.15)",host#053336e2,-7.91033905045424e-17,0.013389475343362918
150,M4,1e-09,"(0.1,0.15)",host#2a9a8c7d,1.637578961322106e-16,0.041162042754822235
270,M4,1e-09,"(0.1,0.15)",host#2ea82f5c,5.204170427930421e-19,0.04058671964132991
390,M4,1e-09,"(0.1,0.15)",host#b1a00ec8,-3.0791341698588326e-17,0.036579688587896744
510,M4,1e-09,"(0.1,0.15)",host#b9ec88ad,-7.771561172376095e-17,0.09494359343560693
630,M4,1e-09,"(0.1,0.15)",host#e0324c47,-8.118505867571457e-17,0.07223300300189907
750,M4,1e-09,"(0.1,0.15)",host#e739d7ed,-1.3877787807814458e-18,0.08486247763543588
870,M4,1e-09,"(0.1,0.15)",host#ea9ebc36,-1.6653345369377347e-17,0.02159416021290122
990,M4,1e-09,"(0.1,0.15)",host#fe823726,-1.6237011735142913e-16,0.06508361249618227
70,M4,1e-09,"(0.1,0.2)",host#053336e2,5.655198531684391e-17,0.016635781517135306
190,M4,1e-09,"(0.1,0.2)",host#2a9a8c7d,2.0122792321330962e-17,0.04215894098427811
310,M4,1e-09,"(0.1,0.2)",host#2ea82f5c,-6.938893903907229e-19,0.03285261316441364
430,M4,1e-09,"(0.1,0.2)",host#b1a00ec8,2.1510571102112408e-16,0.030291212861385926
550,M4,1e-09,"(0.1,0.2)",host#b9ec88ad,1.304512053934559e-16,0.05674852294583116
670,M4,1e-09,"(0.1,0.2)",host#e0324c47,-9.645062526431048e-17,0.049795038373137354
790,M4,1e-09,"(0.1,0.2)",host#e739d7ed,-6.245004513516506e-17,0.06718105012335832
910,M4,1e-09,"(0.1,0.2)",host#ea9ebc36,-3.3306690738754695e-17,0.021081865258675
1030,M4,1e-09,"(0.1,0.2)",host#fe823726,-7.91033905045424e-17,0.037318078389944345
110,M4,1e-09,"(0.1,0.3)",host#053336e2,-2.250803710079907e-16,0.008137014533692075
230,M4,1e-09,"(0.1,0.3)",host#2a9a8c7d,4.458239333260394e-17,0.015834339830115743
350,M4,1e-09,"(0.1,0.3)",host#2ea82f5c,-6.314393452555578e-17,0.01620333777849222
470,M4,1e-09,"(0.1,0.3)",host#b1a00ec8,6.453171330633723e-17,0.028779839032202183
590,M4,1e-09,"(0.1,0.3)",host#b9ec88ad,-3.157196726277789e-17,0.052550922245463996
710,M4,1e-09,"(0.1,0.3)",host#e0324c47,1.5785983631388945e-16,0.03004953146097931
830,M4,1e-09,"(0.1,0.3)",host#e739d7ed,-3.213575239247035e-17,0.04163790906725407
950,M4,1e-09,"(0.1,0.3)",host#ea9ebc36,1.6436504934880247e-17,0.01758147385407692
1070,M4,1e-09,"(0.1,0.3)",host#fe823726,6.609296443471635e-17,0.04930275336855384
29,M4,1e-08,"(0.1,0.15)",host#053336e2,4.163336342344337e-17,0.05846269337850856
149,M4,1e-08,"(0.1,0.15)",host#2a9a8c7d,-1.3877787807814457e-17,0.06074488955693861
269,M4,1e-08,"(0.1,0.15)",host#2ea82f5c,6.522560269672795e-17,0.1159353071730049
389,M4,1e-08,"(0.1,0.15)",host#b1a00ec8,-1.491862189340054e-16,0.0838738482396806
509,M4,1e-08,"(0.1,0.15)",host#b9ec88ad,-5.551115123125783e-17,0.11101107772617175
629,M4,1e-08,"(0.1,0.15)",host#e0324c47,-2.7755575615628914e-17,0.2281240773694198
749,M4,1e-08,"(0.1,0.15)",host#e739d7ed,1.6653345369377347e-17,0.20398016122771928
869,M4,1e-08,"(0.1,0.15)",host#ea9ebc36,8.743006318923108e-17,0.09513034457439172
989,M4,1e-08,"(0.1,0.15)",host#fe823726,-5.828670879282072e-17,0.24838313350165925
69,M4,1e-08,"(0.1,0.2)",host#053336e2,5.585809592645319e-17,0.05113430138144366
189,M4,1e-08,"(0.1,0.2)",host#2a9a8c7d,-9.367506770274758e-17,0.023984197896676458
309,M4,1e-08,"(0.1,0.2)",host#2ea82f5c,-1.3392065234540951e-16,0.08353287847904714
429,M4,1e-08,"(0.1,0.2)",host#b1a00ec8,1.5590827240341554e-16,0.04683557819229386
549,M4,1e-08,"(0.1,0.2)",host#b9ec88ad,-4.0245584642661923e-17,0.17985402435445214
669,M4,1e-08,"(0.1,0.2)",host#e0324c47,5.551115123125783e-17,0.22074862035574414
789,M4,1e-08,"(0.1,0.2)",host#e739d7ed,-9.159339953157541e-17,0.18861450735299268
909,M4,1e-08,"(0.1,0.2)",host#ea9ebc36,3.8857805861880476e-17,0.07168646818823535
1029,M4,1e-08,"(0.1,0.2)",host#fe823726,-1.1102230246251566e-17,0.14873880126851263
109,M4,1e-08,"(0.1,0.3)",host#053336e2,-1.5265566588595902e-16,0.04222869689967749
229,M4,1e-08,"(0.1,0.3)",host#2a9a8c7d,6.89986262569775e-17,0.04023907934006487
349,M4,1e-08,"(0.1,0.3)",host#2ea82f5c,-1.9428902930940238e-17,0.06455454160060796
469,M4,1e-08,"(0.1,0.3)",host#b1a00ec8,4.0245584642661923e-17,0.0448720207846139
589,M4,1e-08,"(0.1,0.3)",host#b9ec88ad,-9.71445146547012e-17,0.09957073635465591
709,M4,1e-08,"(0.1,0.3)",host#e0324c47,1.554312234475219e-16,0.17912988251185813
829,M4,1e-08,"(0.1,0.3)",host#e739d7ed,1.0408340855860843e-16,0.11813398517739092
949,M4,1e-08,"(0.1,0.3)",host#ea9ebc36,8.23126289350995e-17,0.04735083726060691
1069,M4,1e-08,"(0.1,0.3)",host#fe823726,-2.220446049250313e-16,0.07806868338631534
28,M4,1e-07,"(0.1,0.15)",host#053336e2,-3.053113317719181e-17,0.1482231341898546
148,M4,1e-07,"(0.1,0.15)",host#2a9a8c7d,-4.9960036108132046e-17,0.1182369816549536
268,M4,1e-07,"(0.1,0.15)",host#2ea82f5c,1.554312234475219e-16,0.2953603383625133
388,M4,1e-07,"(0.1,0.15)",host#b1a00ec8,5.828670879282072e-17,0.12327304224487265
508,M4,1e-07,"(0.1,0.15)",host#b9ec88ad,8.500145032286355e-18,0.2955399591078708
628,M4,1e-07,"(0.1,0.15)",host#e0324c47,-4.4408920985006264e-17,0.1289555426832507
748,M4,1e-07,"(0.1,0.15)",host#e739d7ed,-1.3877787807814457e-17,0.2903983453878673
868,M4,1e-07,"(0.1,0.15)",host#ea9ebc36,-2.2204460492503132e-17,0.2614602840613418
988,M4,1e-07,"(0.1,0.15)",host#fe823726,-1.554312234475219e-16,0.25676621985057957
68,M4,1e-07,"(0.1,0.2)",host#053336e2,7.216449660063518e-17,0.13538976767374203
188,M4,1e-07,"(0.1,0.2)",host#2a9a8c7d,-8.465450562766818e-17,0.08080957835725688
308,M4,1e-07,"(0.1,0.2)",host#2ea82f5c,-5.967448757360216e-17,0.14698402989872886
428,M4,1e-07,"(0.1,0.2)",host#b1a00ec8,3.191891195797325e-17,0.14300334160887263
548,M4,1e-07,"(0.1,0.2)",host#b9ec88ad,3.053113317719181e-17,0.21670095483817833
668,M4,1e-07,"(0.1,0.2)",host#e0324c47,-5.2735593669694933e-17,0.15492305456584057
788,M4,1e-07,"(0.1,0.2)",host#e739d7ed,5.551115123125783e-18,0.24627245660501157
908,M4,1e-07,"(0.1,0.2)",host#ea9ebc36,9.43689570931383e-17,0.15175481906578567
1028,M4,1e-07,"(0.1,0.2)",host#fe823726,-4.163336342344337e-17,0.25624345433998075
108,M4,1e-07,"(0.1,0.3)",host#053336e2,5.117434254131581e-17,0.13203539312601162
228,M4,1e-07,"(0.1,0.3)",host#2a9a8c7d,3.144186300207963e-17,0.09533779729767228
348,M4,1e-07,"(0.1,0.3)",host#2ea82f5c,3.8857805861880476e-17,0.11050672544884584
468,M4,1e-07,"(0.1,0.3)",host#b1a00ec8,-5.551115123125783e-17,0.12343247170513756
588,M4,1e-07,"(0.1,0.3)",host#b9ec88ad,1.3877787807814457e-17,0.16610910994705044
708,M4,1e-07,"(0.1,0.3)",host#e0324c47,-3.3306690738754695e-17,0.3052083416389199
828,M4,1e-07,"(0.1,0.3)",host#e739d7ed,-4.163336342344337e-17,0.27836773680354565
948,M4,1e-07,"(0.1,0.3)",host#ea9ebc36,-1.4502288259166106e-16,0.14453574040191744
1068,M4,1e-07,"(0.1,0.3)",host#fe823726,-8.881784197001253e-17,0.2370396853426862
27,M4,1e-06,"(0.1,0.15)",host#053336e2,9.645062526431048e-17,0.07782743047506693
147,M4,1e-06,"(0.1,0.15)",host#2a9a8c7d,9.992007221626409e-17,0.17966521058939305
267,M4,1e-06,"(0.1,0.15)",host#2ea82f5c,-1.6653345369377347e-17,0.32267108340476
387,M4,1e-06,"(0.1,0.15)",host#b1a00ec8,5.551115123125783e-18,0.15730393550990376
507,M4,1e-06,"(0.1,0.15)",host#b9ec88ad,-1.27675647831893e-16,0.2670780675659225
627,M4,1e-06,"(0.1,0.15)",host#e0324c47,-9.71445146547012e-17,0.3392682640181888
747,M4,1e-06,"(0.1,0.15)",host#e739d7ed,-2.7755575615628914e-17,0.32517765319530517
867,M4,1e-06,"(0.1,0.15)",host#ea9ebc36,1.1102230246251566e-17,0.27650761892758513
987,M4,1e-06,"(0.1,0.15)",host#fe823726,-7.771561172376095e-17,0.34138307895263303
67,M4,1e-06,"(0.1,0.2)",host#053336e2,-2.2204460492503132e-17,0.21229962597819466
187,M4,1e-06,"(0.1,0.2)",host#2a9a8c7d,-1.1102230246251566e-17,0.16912866639232446
307,M4,1e-06,"(0.1,0.2)",host#2ea82f5c,1.0547118733938987e-16,0.2868087093745987
427,M4,1e-06,"(0.1,0.2)",host#b1a00ec8,-7.355227538141662e-17,0.18961636734769266
547,M4,1e-06,"(0.1,0.2)",host#b9ec88ad,-1.1102230246251565e-16,0.33769531393129015
667,M4,1e-06,"(0.1,0.2)",host#e0324c47,8.326672684688674e-17,0.3140167446411849
787,M4,1e-06,"(0.1,0.2)",host#e739d7ed,-2.4980018054066023e-17,0.32064109821671777
907,M4,1e-06,"(0.1,0.2)",host#ea9ebc36,-1.554312234475219e-16,0.26794802188483907
1027,M4,1e-06,"(0.1,0.2)",host#fe823726,-7.771561172376095e-17,0.3101139554085891
107,M4,1e-06,"(0.1,0.3)",host#053336e2,9.71445146547012e-17,0.17280229929656588
227,M4,1e-06,"(0.1,0.3)",host#2a9a8c7d,-3.053113317719181e-17,0.2517926132521491
347,M4,1e-06,"(0.1,0.3)",host#2ea82f5c,6.38378239159465e-17,0.2774562041907228
467,M4,1e-06,"(0.1,0.3)",host#b1a00ec8,2.4841240175987876e-16,0.12002327569685227
587,M4,1e-06,"(0.1,0.3)",host#b9ec88ad,-1.1102230246251566e-17,0.3012833740302114
707,M4,1e-06,"(0.1,0.3)",host#e0324c47,4.4408920985006264e-17,0.2841620848768591
827,M4,1e-06,"(0.1,0.3)",host#e739d7ed,-8.604228440844963e-17,0.2729687004964022
947,M4,1e-06,"(0.1,0.3)",host#ea9ebc36,-5.412337245047638e-17,0.28420930357412333
1067,M4,1e-06,"(0.1,0.3)",host#fe823726,8.326672684688674e-17,0.3217966420542819
26,M4,1e-05,"(0.1,0.15)",host#053336e2,-1.0547118733938987e-16,0.20695891345373177
146,M4,1e-05,"(0.1,0.15)",host#2a9a8c7d,-5.551115123125783e-18,0.5047803567057825
266,M4,1e-05,"(0.1,0.15)",host#2ea82f5c,7.890823411349501e-17,0.0025577441460851416
386,M4,1e-05,"(0.1,0.15)",host#b1a00ec8,-1.4085954624931674e-16,0.1456658351880439
506,M4,1e-05,"(0.1,0.15)",host#b9ec88ad,8.18789480661053e-17,0.4167653814882235
626,M4,1e-05,"(0.1,0.15)",host#e0324c47,-1.637578961322106e-16,0.4162559726852327
746,M4,1e-05,"(0.1,0.15)",host#e739d7ed,-1.6653345369377347e-17,0.5047348088244185
866,M4,1e-05,"(0.1,0.15)",host#ea9ebc36,-1.1752751549742869e-17,0.006473312811328681
986,M4,1e-05,"(0.1,0.15)",host#fe823726,-3.3219954564955853e-17,0.0035311440457077275
66,M4,1e-05,"(0.1,0.2)",host#053336e2,7.491837011874836e-17,0.010939672235271133
186,M4,1e-05,"(0.1,0.2)",host#2a9a8c7d,2.4980018054066023e-17,0.2816072484148396
306,M4,1e-05,"(0.1,0.2)",host#2ea82f5c,2.0261570199409106e-16,0.28562792172122353
426,M4,1e-05,"(0.1,0.2)",host#b1a00ec8,6.036837696399288e-17,0.0700735598015642
546,M4,1e-05,"(0.1,0.2)",host#b9ec88ad,4.9960036108132046e-17,0.2682731809489158
666,M4,1e-05,"(0.1,0.2)",host#e0324c47,1.2212453270876723e-16,0.2879825057160648
786,M4,1e-05,"(0.1,0.2)",host#e739d7ed,3.8857805861880476e-17,0.2835470765482744
906,M4,1e-05,"(0.1,0.2)",host#ea9ebc36,-5.551115123125783e-18,0.2899719215746563
1026,M4,1e-05,"(0.1,0.2)",host#fe823726,2.7755575615628914e-17,0.26530295055558484
106,M4,1e-05,"(0.1,0.3)",host#053336e2,-8.604228440844963e-17,0.13394291683083673
226,M4,1e-05,"(0.1,0.3)",host#2a9a8c7d,1.609823385706477e-16,0.24077237910455143
346,M4,1e-05,"(0.1,0.3)",host#2ea82f5c,-9.71445146547012e-17,0.2764436166039217
466,M4,1e-05,"(0.1,0.3)",host#b1a00ec8,-4.5102810375396984e-17,0.10056689714443898
586,M4,1e-05,"(0.1,0.3)",host#b9ec88ad,9.43689570931383e-17,0.2902089586293787
706,M4,1e-05,"(0.1,0.3)",host#e0324c47,-7.771561172376095e-17,0.21755995815234647
826,M4,1e-05,"(0.1,0.3)",host#e739d7ed,-6.106226635438361e-17,0.33294042438203075
946,M4,1e-05,"(0.1,0.3)",host#ea9ebc36,5.551115123125783e-17,0.30986279101147535
1066,M4,1e-05,"(0.1,0.3)",host#fe823726,6.106226635438361e-17,0.2855458931788658
24,M4,0.0001,"(0.1,0.15)",host#053336e2,1.0547118733938987e-16,0.020620516023036918
144,M4,0.0001,"(0.1,0.15)",host#2a9a8c7d,1.3392065234540951e-16,0.022666163569073482
264,M4,0.0001,"(0.1,0.15)",host#2ea82f5c,-7.667477763817488e-17,0.03578280112151446
